Time_Sec,Accumulated_Offset_ms
1.0039,19.1345
2.0941,19.3670
3.1819,20.0583
4.2775,20.3263
5.3552,20.8841
6.4412,22.1280
7.5355,25.2098
8.6276,26.1093
9.6940,31.1267
10.7762,31.9161
11.8548,35.4270
12.9232,37.4816
13.9944,39.5517
15.0625,41.3122
16.1388,42.3000
17.2215,43.2650
18.3114,45.7101
19.3945,46.7014
20.4797,49.6967
21.5698,51.8347
22.6634,52.6867
23.7495,55.6765
24.8466,55.8871
25.9299,56.2600
27.0193,58.4277
28.0861,62.5520
29.1607,63.3443
30.2467,64.3536
31.3330,68.4577
32.4059,69.0471
33.4879,71.7902
34.5766,72.7456
35.6707,72.9011
36.7596,75.3946
37.8405,76.6574
38.9197,79.2009
39.9937,84.6430
41.0751,85.1107
42.1605,85.7635
43.2467,91.6638
44.3118,93.4103
45.3797,94.1785
46.4694,97.3416
47.5548,100.2373
48.6253,100.7848
49.6786,101.8508
50.7636,102.6356
51.8296,103.5414
52.9058,103.8113
