Time_Sec,Accumulated_Offset_ms,Ident_Error_e,L_Plus,L_Minus
0.9501,0.3280,0.3280,0.0000,0.0000
1.9490,1.3327,0.6673,0.0000,0.0000
2.9502,1.7979,-0.0238,0.0000,0.0000
3.9515,2.2563,-0.1630,0.0000,0.0000
4.9511,2.9707,0.0492,0.0000,0.0000
5.9505,3.4059,-0.1324,0.0000,0.0000
6.9527,4.4293,0.3568,0.0000,0.0000
7.9506,5.0005,0.1997,0.0000,0.0000
8.9508,14.0629,8.5872,1.2174,0.0000
9.9500,18.5919,9.7770,2.6728,0.0000
10.9498,18.7484,6.2388,3.4206,0.0000
31.4465,4123.9446,4083.7130,819.6632,0.0000
32.4472,4124.0222,1281.4037,1075.4440,0.0000
33.4465,4124.2107,646.4750,1204.2390,0.0000
34.4482,4124.2561,338.6825,1271.4755,0.0000
35.4472,4124.5734,143.8062,1299.7367,0.0000
36.4477,4125.0356,1.4349,1299.5237,0.0000
37.4468,4125.5513,-111.3471,1276.7543,21.7694
38.4465,4126.2352,-205.6007,1235.1341,62.3896
39.4467,4126.6011,-287.6424,1177.1056,119.4180
40.4472,4126.7774,-360.6770,1104.4702,191.0535
